joe;1;12;29.5;0.011494252873563218
dishes;2;4;26.25;0.08333333333333333
legend;3;8;23.5;0.05
stk;4;6;21.0;0.0625
princess;5;7;19.0;0.05263157894736842
wonderful;6;9;17.666666666666668;0.03333333333333333
dishes;7;4;16.75;0.08333333333333333
stk;8;6;15.5;0.0625
island;9;13;15.0;0.005154639175257732
almond;10;2;13.0;0.2
dishes;11;4;12.25;0.08333333333333333
spring;12;10;11.333333333333334;0.022222222222222223
1 oak;13;8;10.0;0.05
aurora;14;1;9.5;1.0
juice;15;5;7.0;0.06451612903225806
talent;15;3;7.0;0.1111111111111111
joe;16;12;3.0;0.011494252873563218
joe;17;12;2.0;0.011494252873563218
cream;18;11;0.0;0.02127659574468085
